run_id,method,model_name,dataset,task_type,rank,alpha,dropout,seed,epoch,step,eval_loss,accuracy,macro_f1,weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,source,implementation,is_final_only,rank_label,method_rank
ft_seed99_1781726652,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,4.0,5200,0.7540104985237122,0.8046153846153846,0.8048887167289246,0.8048887167289247,1.783,1458.21,45.99,notebook_cell_7_section_10,custom,False,full,ft / full
ft_seed99_1781726652,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,99,5.0,6500,0.7621713876724243,0.805,0.805365985882025,0.8053659858820251,1.9124,1359.58,42.879,notebook_cell_7_section_10,custom,False,full,ft / full
official_ft_seed97_1781760636,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,1.0,1300,0.7314496040344238,0.7934615384615384,0.7916964997647242,0.7916964997647241,1.703,1526.724,48.151,outputs\official_ft_seed97_1781760636\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed97_1781760636,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,2.0,2600,0.6997123956680298,0.8038461538461539,0.8027721838331178,0.8027721838331178,1.6987,1530.547,48.271,outputs\official_ft_seed97_1781760636\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed97_1781760636,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,3.0,3900,0.7020010948181152,0.8073076923076923,0.8065812430024744,0.806581243002474,1.7632,1474.607,46.507,outputs\official_ft_seed97_1781760636\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed97_1781760636,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,4.0,5200,0.7321280837059021,0.8092307692307692,0.8090034589573363,0.8090034589573364,1.731,1502.053,47.372,outputs\official_ft_seed97_1781760636\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed97_1781760636,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,97,5.0,6500,0.7503795027732849,0.813076923076923,0.8129272547311662,0.8129272547311662,1.7204,1511.304,47.664,outputs\official_ft_seed97_1781760636\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed98_1781762294,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,1.0,1300,0.7707986235618591,0.7823076923076923,0.7820574195106119,0.7820574195106119,1.7701,1468.804,46.324,outputs\official_ft_seed98_1781762294\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed98_1781762294,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,2.0,2600,0.69663405418396,0.801923076923077,0.8014980351797102,0.8014980351797102,1.7837,1457.614,45.971,outputs\official_ft_seed98_1781762294\checkpoint-6500\trainer_state.json,official,False,full,ft / full
official_ft_seed98_1781762294,ft,vinai/phobert-base-v2,data/uit_vion/subset.csv,single_label,,,,98,3.0,3900,0.7228733897209167,0.7938461538461539,0.7947454224898812,0.7947454224898813,1.7694,1469.392,46.342,outputs\official_ft_seed98_1781762294\checkpoint-6500\trainer_state.json,official,False,full,ft / full
